year,event_date,collective,title,activity,status,attendees,trees_planted,rubbish_kg,volunteer_hours,app_checkins,walkins
2025,2025-01-14,Melbourne City,Brighton Beach Clean,shore_cleanup,completed,14,0,40.00,56.00,0,0
2025,2025-01-30,Melbourne City,Nature Hike,nature_walk,completed,10,0,0,40.00,0,0
2025,2025-02-21,Melbourne City,Brighton Baths,workshop,completed,12,0,0,48.00,0,0
2025,2025-03-01,Melbourne City,CUAD,shore_cleanup,completed,18,0,27.00,72.00,0,0
2025,2025-03-14,Melbourne City,Nature Hike,nature_walk,completed,10,0,0,40.00,0,0
2025,2025-04-04,Melbourne City,Tree Planting & Camp Out,tree_planting,completed,33,80,0,132.00,0,0
2025,2025-04-08,Melbourne City,Beach Clean & BBQ,shore_cleanup,completed,35,0,20.00,140.00,0,0
2025,2025-05-17,Melbourne City,Dight Falls Nature Hike,nature_walk,completed,23,0,0,92.00,0,0
2025,2025-05-24,Melbourne City,Frankston Beach Clean Up,shore_cleanup,completed,16,0,10.00,64.00,0,0
2025,2025-06-21,Melbourne City,Tree Planting,tree_planting,completed,15,500,0,60.00,0,0
2025,2025-07-12,Melbourne City,Trig Point hike - Churchill national park,nature_walk,completed,12,0,0.00,36.00,0,0
2025,2025-07-29,Melbourne City,Brighton Beach clean-up,shore_cleanup,completed,13,0,20.00,39.00,0,0
2025,2025-08-08,Melbourne City,Tree Plantnig & Campout,tree_planting,completed,38,2500,0,152.00,0,0
2025,2025-08-16,Melbourne City,Coexist X MCCC Landcare Balnarring Tree planting,tree_planting,completed,33,1300,0.00,99.00,0,0
2025,2025-09-13,Melbourne City,Healesville tree planting,tree_planting,completed,23,1200,0.00,69.00,0,0
2025,2025-09-20,Melbourne City,Coexist / regenerating farms Yarra valley treeplanting 2.0,tree_planting,completed,20,1600,0.00,60.00,0,0
2025,2025-10-07,Melbourne City,Mentone beach cleanup,shore_cleanup,completed,8,0,15.00,24.00,0,0
2025,2025-10-24,Melbourne City,Red Gum Trail Hike,nature_walk,completed,17,0,0.00,51.00,0,0
2025,2025-11-15,Melbourne City,Yarra Riverside Clean Up,shore_cleanup,completed,18,0,29.00,54.00,0,0
2026,2026-01-31,Melbourne City,Sherbrooke Falls Nature Hike,nature_hike,completed,30,0,0.00,90.00,0,0
